Czech Rep.,149999.3895,200053.3022,300199.8711,400448.7694,701068.3769,1001808.713,1502888.876,2443133.35,3498369.161,3621591.075,3604819.023,4917040.923,5355813.533,6534622.962,6726321.261,7220731.641,49.869631,15.456787,
Denmark,200210.5259,300334.784,600693.5056,1201363.978,1627645.852,2091612.337,2300828.651,3450550.748,4106209.786,4370446.604,4484047.966,4716051.026,4650401.239,4673814.662,4797800.582,4924085.982,54.956955,9.529681,
Djibouti,100.4390844,200.8458518,552.1871673,652.3986498,752.5731872,1423.607718,2575.086608,3726.711669,4880.080404,6201.611319,7708.680264,10461.10042,13599.1386,19337.3736,34883.6,57766.54,11.283362,42.584175,
Dominica,391.6190393,829.6624368,,2059.99883,2052.603029,6141.478249,9198.413516,12768.63494,16345.33054,20946.9111,26566.20612,27066.54575,27561.42601,28054.2444,28540.8244,32150.6965,15.399601,-61.368407,
Dominican Rep.,1364.265095,6040.03312,11686.99628,19472.60771,93441.04862,318305.9447,386519.9714,604633.9602,710491.8803,809421.928,1063834.102,1395168.676,1683343.076,2012242.174,2715687.374,3924269.596,18.931043,-70.168865,
Ecuador,4990.243508,9980.98593,12977.06805,14982.10478,100024.7341,180507.511,335195.0513,543993.6245,579294.1006,638575.1949,804812.7948,982058.976,1495769.868,2642667.12,3508345.236,4194774.31,-1.176354,-78.119723,
Egypt,19438.16077,38798.21271,58087.94432,96649.3734,193021.6136,433805.6595,577933.1213,1908749.79,2887024.578,3752002.714,8680587.574,9485956.745,12349122.31,14106025.97,19355094.09,21691775.99,26.71951,30.793965,
El Salvador,,5003.16877,15004.19874,24996.82336,49974.08761,69940.98885,89490.405,113776.427,150213.075,192921.344,254121.546,334096.785,372763.0348,617866.5024,746027.2253,984685.887,13.750569,-88.909194,
Equatorial Guinea,,,195.9035255,460.8248419,490.9773352,688.7472064,887.7707287,1780.814844,2977.393631,4977.450183,6987.720246,8004.899311,10026.87594,12054.3514,14507.7495,42024.06,1.584052,10.341777,
Eritrea,0,0,300.7550535,300.8039833,902.4946885,5014.014341,6016.665295,9024.500755,30080.71107,50137.07069,80233.09,100321.4242,120436.5125,200869.3526,,283698.504,14.786722,39.773985,
Estonia,40036.87691,50046.95448,80069.78776,150109.5798,200106.8716,391718.3086,429663.8819,563278.5888,612706.006,717374.868,827029.1265,853598.5338,888847.6387,947285.941,972681.025,993784.74,58.721875,25.797707,
Ethiopia,10.01040505,1001.191136,3003.958923,6008.211864,8010.169481,10009.65754,25011.66899,49987.00597,74897.73726,112658.8776,163127.8627,236029.9294,287558.2132,357508.8855,438413.8554,622121.5575,9.201377,40.484484,
Faeroe Islands,0,1006.724482,2012.883633,5029.251701,10049.50054,15056.94536,20048.43662,25020.7867,27967.00892,31879.57418,32768.45203,33621.99102,36905.0056,36724.7529,36556.275,36628.416,62.117332,-6.966986,
Fiji,70.70324871,505.6466267,1772.365595,5069.680124,7604.980849,12150.23931,15138.43799,50226.29446,54969.60103,60719.56835,69535.64174,79492.73397,91025.98644,102925.422,114637.4435,127544.3286,-17.825174,177.981699,
Finland,710000,860008.5578,1000031.718,1311065.668,1667071.049,1927000.745,2235090.679,3244677.512,3606773.859,3783149.901,3905985.922,4194844.618,4273610.162,4448176.658,4406241.295,4661254.019,64.962262,27.270144,
France,947462.4102,1500227.336,2479408.585,3696826.482,5361267.71,8448513.599,15635143.67,18039953.46,21750455.68,23723604.53,26149202.12,28767899.07,40807003.5,43891158.31,44697966.37,50292729.03,46.907679,2.470958,
French Polynesia,,200.2947491,481.6529103,3016.267796,8054.28569,15106.79867,15094.33648,20090.53039,35078.67232,45001.43076,54904.56812,64808.42623,74718.5355,89600.0367,119387.51,132674.36,-17.628766,-149.394675,
Gabon,,0,551.2282946,2003.962208,3005.20181,15022.66886,17022.66697,25030.25667,35039.62784,40043.79233,67073.39897,76694.67448,82101.21093,90064.251,98993.438,108844.9749,-3.211217,11.59754,
Gambia,103.8063837,411.2845942,611.1976753,2524.747823,9021.446177,11956.45441,17855.17205,24724.32006,34549.12238,48313.15924,57124.74434,81040.64784,98744.29731,112564.1616,128316.3042,159012.248,13.406523,-15.323892,
Georgia,600.0435597,2000.200327,3000.556294,5001.383076,20005.89126,23004.92017,46494.62149,73455.66651,116934.8426,175641.9323,272177.6828,334405.9662,364757.9656,439841.2018,877787.541,1170753.636,42.044706,43.340357,
Germany,1505648.269,2511060.075,5524971.151,8134457.604,17164904.18,24882867.42,26075390.96,40243315.09,46108618.05,53418007.22,56713741.77,59558077.18,62019248.83,64330711.38,65100238.35,67488021.3,51.085608,10.319895,
Ghana,59.13520564,984.5347038,4916.896931,5893.911854,19631.89559,29441.1245,39266.11242,167006.3279,245899.9372,362586.1471,396267.578,603743.2541,874427.5155,993380.3152,1296047.469,2329419.097,8.1065,-1.03727,
Gibraltar,,,725.1362782,1137.490002,1615.689274,5232.120394,5846.401871,6625.063402,8047.354039,9468.889766,11359.64055,13243.96557,15119.6656,16986.46,19037.5299,19008.6,36.128421,-5.371941,
Greece,79997.63871,150066.0424,200220.9944,350682.5429,752211.5308,1004073.363,1206395.24,1624458.098,1977770.816,2387743.306,2683947.36,3618224.25,4038551.26,4313470.274,4802476.704,5043549.624,37.474903,23.318478,
Greenland,30,1000,4434,8187,12102.21603,17841,20000,24999.55845,30999.45466,31999.43901,33000.57703,34002.37447,35002.8812,36006.5394,36004.1032,36096.48,75.856468,-41.341124,
Grenada,0,300.1400755,1001.179152,1502.95486,2506.652817,4125.760671,5216.871462,15047.22829,19054.44393,20051.07932,21047.94146,22045.78742,23040.7272,24042.9914,25035.3285,34961.3502,12.104435,-61.695881,
Guam,960.0065953,2000,3499.953109,6799.864961,12999.57514,24999.03321,39998.22338,49998.75231,54998.9885,59998.91515,64998.4576,74996.49188,79994.46194,84993.22138,89994.42938,,13.473251,144.788557,
Guatemala,300.27048,2001.626669,10007.33351,50033.21191,65039.59514,80045.56794,200112.8614,400237.9649,550346.6682,632642.964,724877.778,847268.76,975195.466,1136340.218,1305126.939,1510837.545,15.807973,-90.233092,
Guinea,50.58036238,152.1292385,303.570016,503.2575749,5002.225606,7962.719391,14872.50219,34593.80023,39431.76738,45230.58376,49027.6298,58661.64904,73116.59776,87943.812,91755.4398,99815.9,11.031216,-11.371446,
Guinea-Bissau,,,191.8534883,287.1815704,1432.323446,2854.786491,3789.115305,13191.76374,17804.92073,24243.8238,26004.87836,28708.01544,31421.9579,34234.35948,34183.44792,37122.988,11.306127,-15.194249,
Guyana,,480.0699107,962.0058426,1929.052729,29013.72623,48468.91078,97114.53759,,,,,,,136787.196,179970.107,225593.407,4.573589,-58.939266,
Haiti,,601.1279518,,2002.092274,6002.690675,19994.21129,29965.74294,79830.48896,149504.3428,497598.4909,596000.2725,644202.1281,691808.616,739961.232,799003.521,836434.7739,18.321816,-73.063766,
Honduras,2050.256728,2494.428128,9978.68187,17963.39545,34931.68716,74857.58384,89831.79374,168247.4026,317248.176,377615.168,447150.795,547385.982,672928.986,701063.232,730092.454,842898.1116,14.860376,-86.246695,
Hong Kong,197763.1448,297670.6471,674684.5425,954777.7353,1420892.265,1887645.221,2640819.467,2945441.715,3561208.583,3839563.985,3874809.771,4154457.312,4453561.44,4619887.456,4849655.344,5078296.08,22.436205,114.150789,
Hungary,69993.81455,99967.29786,199904.1595,399784.4315,599691.8776,714705.1036,1479684.295,1693550.809,2192095.162,2804623.018,3930878.959,4736247.344,5352690.876,5612256.16,6182388.871,6516325.092,47.121927,19.485818,
Iceland,30000,39995.11386,74972.24634,99947.05426,114965.3126,125055.5882,140272.1554,226902.7096,240876.5336,245771.7552,258166.41,269434.051,276983.226,282706.06,293454.99,304129.2,64.798529,-19.020785,
India,252973.9048,455255.9957,708073.4736,1415953.222,2831310.292,5559654.504,7072638.388,16742760.42,18650651.23,22191838.75,27225078.6,32460714.65,46371879.35,52159829.14,61836308.89,91846074.53,22.837076,78.586054,
